# Time-averaged data for fix rdf
# TimeStep Number-of-rows
# Row c_RDF[1] c_RDF[2] c_RDF[3] c_RDF[4] c_RDF[5] c_RDF[6] c_RDF[7]
11000 100
84 8.35 0.937686 84.206 0.989169 169.129 0.982025 169.034
85 8.45 0.982621 87.2275 0.99925 175.3 1.03274 175.399
86 8.55 1.06066 90.5665 0.963796 181.395 1.01892 181.828
87 8.65 1.0789 94.0429 1.03249 188.077 0.980216 188.159
88 8.75 1.00231 97.3476 0.991527 194.644 1.01574 194.871
89 8.85 0.931433 100.489 0.997753 201.403 0.968791 201.421
90 8.95 0.980409 103.871 1.00965 208.399 0.988233 208.253
91 9.05 0.978332 107.322 0.973527 215.296 0.980478 215.185
92 9.15 1.00468 110.944 0.982589 222.412 1.05419 222.803
93 9.25 1.07393 114.901 0.993933 229.768 0.990259 230.116
94 9.35 1.04424 118.833 0.996056 237.3 0.995354 237.627
95 9.45 1.04681 122.858 1.01565 245.146 1.01783 245.472
96 9.55 0.970363 126.67 0.999384 253.03 0.993355 253.292
97 9.65 1.05524 130.901 1.03472 261.365 1.01719 261.468
98 9.75 0.985477 134.936 0.959326 269.253 0.967143 269.403
99 9.85 1.00666 139.142 0.995177 277.605 0.972718 277.549
100 9.95 1.03484 143.554 0.995321 286.129 0.996457 286.064
11400 100
1 0.05 0 0 0 0 0 0
2 0.15 0 0 0 0 0 0
3 0.25 0 0 0 0 0 0
4 0.35 0 0 0 0 0 0
5 0.45 0 0 0 0 0 0
6 0.55 0 0 0 0 0 0
7 0.65 0 0 0 0 0 0
8 0.75 0 0 0 0 0 0
9 0.85 0 0 0 0 0 0
10 0.95 0 0 0 0 0 0
11 1.05 0 0 0 0 0 0
12 1.15 0 0 0 0 0 0
13 1.25 0 0 0 0 0 0
14 1.35 0 0 0 0 0 0
15 1.45 0 0 0 0 0 0
16 1.55 0 0 0 0 0 0
17 1.65 0 0 0.382606 0.0901288 0.0182585 0.00429185
18 1.75 0 0 0.793662 0.300429 0 0.00429185
19 1.85 0 0 1.1885 0.652361 0.174301 0.055794
20 1.95 0 0 0.978432 0.974249 0.366067 0.175966
21 2.05 0 0 0.944344 1.3176 0.437698 0.334764
22 2.15 0 0 0.558061 1.54077 0.828137 0.665236
23 2.25 0 0 0.30378 1.67382 1.00168 1.103
24 2.35 0 0 0.224581 1.78112 1.08931 1.62232
25 2.45 0 0 0.305804 1.93991 1.3418 2.3176
26 2.55 0.459745 0.128755 0.343329 2.13305 1.36098 3.08155
27 2.65 1.36226 0.540773 0.459202 2.41202 1.16817 3.7897
28 2.75 2.60906 1.39056 0.577302 2.7897 1.10449 4.51073
29 2.85 2.50281 2.26609 0.818473 3.36481 0.924293 5.1588
